location,query,imp_lat,imp_lng
037XX Saint Claude Ave,"3700 Saint Claude Ave, New Orleans, LA",29.966091,-90.037962
005XX Esplanade Ave,"500 Esplanade Ave, New Orleans, LA",29.962016,-90.05822
072XX Downman Rd,"7200 Downman Rd, New Orleans, LA",30.025332,-90.0243
016XX Independence St,"1600 Independence St, New Orleans, LA",29.971452,-90.036601
010XX Bartholomew St,"1000 Bartholomew St, New Orleans, LA",29.9645204,-90.0359138
034XX La Salle St,"3400 La Salle St, New Orleans, LA",29.935336,-90.095117
022XX Desire St,"2200 Desire St, New Orleans, LA",29.9782102,-90.0372282
010XX Lizardi St,"1000 Lizardi St, New Orleans, LA",29.9611879,-90.0210924
130XX Lemans St,"13000 Lemans St, New Orleans, LA",30.039853,-89.933918
009XX Saint Ann St,"900 Saint Ann St, New Orleans, LA",29.960081,-90.065942
010XX Bienville St,"1000 Bienville St, New Orleans, LA",29.9567006,-90.0703818
002XX N Olympia St,"200 N Olympia St, New Orleans, LA",29.9791451,-90.1048281
041XX N Miro St,"4100 N Miro St, New Orleans, LA",29.976617,-90.03094
048XX Chef Menteur Hwy,"4800 Chef Menteur Hwy, New Orleans, LA",30.0055865,-90.0361065
006XX S Peters St,"600 S Peters St, New Orleans, LA",29.9471343,-90.0657535
001XX S Rampart St,"100 S Rampart St, New Orleans, LA",29.9552732,-90.0728348
017XX Urquhart St,"1700 Urquhart St, New Orleans, LA",29.970145,-90.062706
026XX Orleans Ave,"2600 Orleans Ave, New Orleans, LA",29.9697241,-90.0816636
047XX Frenchmen St,"4700 Frenchmen St, New Orleans, LA",30.0061723,-90.0614102
009XX Esplanade Ave,"900 Esplanade Ave, New Orleans, LA",29.964591,-90.061915
006XX Bourbon St,"600 Bourbon St, New Orleans, LA",29.9643234,-90.0605337
031XX Louisiana Avenue Pkwy,"3100 Louisiana Avenue Pkwy, New Orleans, LA",29.9421159,-90.0980649
013XX N Rampart St,"1300 N Rampart St, New Orleans, LA",29.965329,-90.063914
071XX Parkside Ct,"7100 Parkside Ct, New Orleans, LA",30.0327422,-89.9942334
090XX Airline Hwy,"9000 Airline Hwy, New Orleans, LA",,
049XX Chef Menteur Hwy,"4900 Chef Menteur Hwy, New Orleans, LA",30.0056234,-90.0360123
077XX N Coronet Ct,"7700 N Coronet Ct, New Orleans, LA",30.0260673,-90.0010648
017XX N Rampart St,"1700 N Rampart St, New Orleans, LA",29.9666648,-90.0626836
069XX Morrison Rd,"6900 Morrison Rd, New Orleans, LA",30.0302603,-90.0116144
038XX Gentilly Blvd,"3800 Gentilly Blvd, New Orleans, LA",30.0027023,-90.0477708
008XX St Ann St,"800 St Ann St, New Orleans, LA",29.959488,-90.065019
044XX Fiesta St,"4400 Fiesta St, New Orleans, LA",29.928257,-90.00992
011XX Decatur St,"1100 Decatur St, New Orleans, LA",29.9598886,-90.059762
001XX Verret St,"100 Verret St, New Orleans, LA",29.954872,-90.05129
007XX Decatur St,"700 Decatur St, New Orleans, LA",29.9574641,-90.0629497
026XX Saint Claude Ave,"2600 Saint Claude Ave, New Orleans, LA",29.9686793,-90.0500421
048XX Bancroft Dr,"4800 Bancroft Dr, New Orleans, LA",30.0060111,-90.0837438
076XX Wave Dr,"7600 Wave Dr, New Orleans, LA",30.0563852,-89.9608542
009XX Decatur St,"900 Decatur St, New Orleans, LA",29.9583955,-90.061139
033XX Spain St,"3300 Spain St, New Orleans, LA",29.992202,-90.055218
101XX Lakewood St,"10100 Lakewood St, New Orleans, LA",30.024206,-89.968406
002XX Burgundy St,"200 Burgundy St, New Orleans, LA",29.955968,-90.070771
025XX Sage St,"2500 Sage St, New Orleans, LA",29.993564,-90.050899
047XX De Montluzin St,"4700 De Montluzin St, New Orleans, LA",,
011XX N Galvez St,"1100 N Galvez St, New Orleans, LA",29.970385,-90.074751
009XX Royal St,"900 Royal St, New Orleans, LA",29.9596157,-90.0631332
020XX Saint Bernard Ave,"2000 Saint Bernard Ave, New Orleans, LA",29.9765062,-90.0682745
023XX Amelia St,"2300 Amelia St, New Orleans, LA",29.934085,-90.096764
032XX Trafalgar St,"3200 Trafalgar St, New Orleans, LA",29.9874237,-90.0776264
010XX France St,"1000 France St, New Orleans, LA",29.96412,-90.033974
032XX Conti St,"3200 Conti St, New Orleans, LA",29.9711409,-90.0899646
013XX Esplanade Ave,"1300 Esplanade Ave, New Orleans, LA",29.9674512,-90.0661383
017XX Wagner St,"1700 Wagner St, New Orleans, LA",29.9365322,-90.0401553
032XX Garden Oaks Dr,"3200 Garden Oaks Dr, New Orleans, LA",29.9231166,-90.0218388
002XX S Scott St,"200 S Scott St, New Orleans, LA",29.9719929,-90.0992774
011XX Marais St,"1100 Marais St, New Orleans, LA",29.965563,-90.067908
046XX Gabriel Dr,"4600 Gabriel Dr, New Orleans, LA",30.0185911,-89.980689
011XX Milan St,"1100 Milan St, New Orleans, LA",29.9231,-90.099421
008XX S Peters St,"800 S Peters St, New Orleans, LA",29.9444354,-90.0656801
028XX S Roman St,"2800 S Roman St, New Orleans, LA",29.944046,-90.095897
